model,split_policy,group_type,group,n,ade_meters,fde_meters,rmse_meters,mae_meters
linear_lstsq,temporal_test,speed_bin,sog_8_15,2205,10641.655921248997,14471.613110114182,8905.310289169664,6682.443282176493
linear_lstsq,temporal_test,turn_bin,turn_0_5,12831,3826.311427820856,6136.450516692288,3191.6877719586855,2388.68037296922
linear_lstsq,temporal_test,turn_bin,turn_15_45,6556,2108.435441754372,3670.9689895728798,1782.1606917876359,1321.3370681852118
linear_lstsq,temporal_test,turn_bin,turn_45_180,2891,1334.3330037540027,2291.3466352612563,1079.1170593115055,843.5202709059396
linear_lstsq,temporal_test,turn_bin,turn_5_15,5672,3267.953757766386,4895.822704450897,2734.5097420603624,2052.462532766678
lstm_baseline,temporal_test,region,east_gulf_coast,22583,29493.403007663546,29588.688151062463,20956.225229298205,18004.484483365097
lstm_baseline,temporal_test,region,hawaii_pacific,213,72455.13780282262,69237.46004432354,51400.03179439091,47252.35268090397
lstm_baseline,temporal_test,region,other,550,204932.8257403661,205154.34728485378,145290.2500135896,131696.78161792015
lstm_baseline,temporal_test,region,west_coast,4604,46285.73545432506,46412.00316070446,32848.39434069007,28395.32173491992
lstm_baseline,temporal_test,speed_bin,sog_0_2,20601,30014.555978745917,29812.91568910712,21289.778475727577,18315.219368195605
lstm_baseline,temporal_test,speed_bin,sog_15_50,372,125725.22797194692,126238.05633371584,89189.35414650937,79990.1103158187
lstm_baseline,temporal_test,speed_bin,sog_2_8,4772,40134.397010199486,40574.592225670465,28485.03865095612,24947.847613901682
lstm_baseline,temporal_test,speed_bin,sog_8_15,2205,68332.9023159185,70161.58271886614,48819.281457655336,42497.06635422803
lstm_baseline,temporal_test,turn_bin,turn_0_5,12831,39062.570441093914,39296.180492323125,27755.62982591062,24045.45915970229
lstm_baseline,temporal_test,turn_bin,turn_15_45,6556,32491.863224790573,32464.77240427638,23069.92937922086,19885.848029081382
lstm_baseline,temporal_test,turn_bin,turn_45_180,2891,32224.83405630922,32089.591801645092,22825.676161024156,19969.625981620546
lstm_baseline,temporal_test,turn_bin,turn_5_15,5672,35244.10309851695,35198.40045582643,25031.437427627992,21719.714474018194
ridge_lstsq,temporal_test,region,east_gulf_coast,22583,2933.985522823662,4813.3203320264765,2415.3095869921635,1835.9897684900886
ridge_lstsq,temporal_test,region,hawaii_pacific,213,4369.561618667155,6513.229631137994,3513.4722799476654,2797.620307707843
ridge_lstsq,temporal_test,region,other,550,6602.733816233322,10020.492750290048,5527.401243011703,4025.4781465774945
ridge_lstsq,temporal_test,region,west_coast,4604,3690.480052385233,5728.544935096323,3020.2124112696815,2317.9595610169767
ridge_lstsq,temporal_test,speed_bin,sog_0_2,20601,2112.8863989840866,3818.942785391655,1742.2376139685657,1322.3345031689548
ridge_lstsq,temporal_test,speed_bin,sog_15_50,372,10531.747648004102,15175.522606470427,8756.344260971491,6507.775651939375
ridge_lstsq,temporal_test,speed_bin,sog_2_8,4772,3499.974702804147,5260.467801005164,2843.9293725044295,2193.512054956027
ridge_lstsq,temporal_test,speed_bin,sog_8_15,2205,10732.028723130488,14761.784936767419,8851.70363164444,6718.459727137404
ridge_lstsq,temporal_test,turn_bin,turn_0_5,12831,3974.416853486145,6393.521374862291,3268.503961913747,2478.8865355489365
ridge_lstsq,temporal_test,turn_bin,turn_15_45,6556,2156.3027028967617,3685.797227767973,1799.353754242923,1357.563545995037
ridge_lstsq,temporal_test,turn_bin,turn_45_180,2891,1414.3298825917234,2386.473805346014,1132.5538322162913,891.8303509626766
ridge_lstsq,temporal_test,turn_bin,turn_5_15,5672,3277.5202025684484,5090.509116020639,2685.0289045743566,2055.516145466901
tcn_baseline,temporal_test,region,east_gulf_coast,22583,33340.09017470148,33402.655905191044,24076.456288549078,20690.97154485352
tcn_baseline,temporal_test,region,hawaii_pacific,213,305549.55375962384,297162.169984729,216692.58637256976,167863.99133404935
tcn_baseline,temporal_test,region,other,550,117500.0206556033,117488.748583995,84316.05828567746,72443.08478380986
tcn_baseline,temporal_test,region,west_coast,4604,94199.35739023022,94175.46800815537,66856.8265007106,62415.65473704731
tcn_baseline,temporal_test,speed_bin,sog_0_2,20601,42898.15528847414,43002.73529432006,30779.50782986339,27125.068619881677
tcn_baseline,temporal_test,speed_bin,sog_15_50,372,90690.0647561463,92620.14682459639,64884.458147215104,57364.7146729898
tcn_baseline,temporal_test,speed_bin,sog_2_8,4772,47565.19356613382,46650.39265016543,34087.1180600228,29799.36318870822
tcn_baseline,temporal_test,speed_bin,sog_8_15,2205,77939.89082383332,78394.86113414702,55858.23488065613,48924.643065301854
tcn_baseline,temporal_test,turn_bin,turn_0_5,12831,48356.9565731967,48611.54682097789,34673.55858791722,30493.58723634398
tcn_baseline,temporal_test,turn_bin,turn_15_45,6556,43489.13803649554,43112.96334000388,31200.762782076163,27485.595780804164
tcn_baseline,temporal_test,turn_bin,turn_45_180,2891,52872.37482653671,53188.67933271483,37817.439533256154,33310.13509816434
tcn_baseline,temporal_test,turn_bin,turn_5_15,5672,45466.01371118051,45077.32194578804,32665.364209547733,28643.55205478949
transformer_baseline,temporal_test,region,east_gulf_coast,22583,33920.723367302824,29646.241478261865,26276.903220784225,21096.24762138654
transformer_baseline,temporal_test,region,hawaii_pacific,213,158146.85836184752,229489.1501512496,122463.24493788571,96117.67671367926
transformer_baseline,temporal_test,region,other,550,104389.77084727975,111487.44634917782,87021.8291009678,64128.00248476652
transformer_baseline,temporal_test,region,west_coast,4604,155680.5933681396,170148.25427398912,111231.33123968421,96005.53407629873
transformer_baseline,temporal_test,speed_bin,sog_0_2,20601,52070.2497193719,51062.06562244221,39095.69776833951,32159.13285712381
transformer_baseline,temporal_test,speed_bin,sog_15_50,372,82138.42708595646,92297.8033431879,62445.27802431057,51052.44049932284
transformer_baseline,temporal_test,speed_bin,sog_2_8,4772,56229.941781710746,56008.013633304305,42034.58013111145,34934.32147724682
transformer_baseline,temporal_test,speed_bin,sog_8_15,2205,91746.39951959706,95024.16356715265,68135.10299478848,57125.224255287765
transformer_baseline,temporal_test,turn_bin,turn_0_5,12831,61778.44018906927,61528.91737587496,46127.78423245913,38321.20093859858
transformer_baseline,temporal_test,turn_bin,turn_15_45,6556,47330.26143696568,46107.50068785618,35688.5524332714,29279.65172328182
transformer_baseline,temporal_test,turn_bin,turn_45_180,2891,58736.05546794847,58262.23904328386,44130.920734553765,35949.76111352372
transformer_baseline,temporal_test,turn_bin,turn_5_15,5672,53085.773283367045,53397.12130143286,39852.748687759675,32895.278580306076
constant_acceleration,vessel_disjoint_test,region,east_gulf_coast,22030,33948.08452610672,61660.869715755376,91125.05998557668,60890.04393941512
constant_acceleration,vessel_disjoint_test,region,hawaii_pacific,274,6626.848688581519,17837.731524190607,6201.9677635270755,3508.6226178166457
constant_acceleration,vessel_disjoint_test,region,other,770,77545.7164327724,150106.115844045,91265.98262765862,60083.666280233105
constant_acceleration,vessel_disjoint_test,region,west_coast,4637,42001.95737913706,87376.20972246745,51185.981556540064,34316.03391238069
constant_acceleration,vessel_disjoint_test,speed_bin,sog_0_2,19932,23940.43928473927,36555.89201958182,86646.40339892777,58246.87372698096
constant_acceleration,vessel_disjoint_test,speed_bin,sog_15_50,475,107644.12691109716,191589.99996351037,154984.58734274155,99100.68455037991
constant_acceleration,vessel_disjoint_test,speed_bin,sog_2_8,4971,44885.47196896313,113706.66667691334,43615.478731509924,29138.832545632747
constant_acceleration,vessel_disjoint_test,speed_bin,sog_8_15,2333,108327.4150909497,213951.3768498959,128307.87717139622,83522.61208663968
constant_acceleration,vessel_disjoint_test,turn_bin,turn_0_5,12854,34237.496034037824,72146.48008646737,39453.876322886164,25754.434262591403
constant_acceleration,vessel_disjoint_test,turn_bin,turn_15_45,5810,23014.252205729863,42781.94680028264,69705.97530090233,46629.461345231226
constant_acceleration,vessel_disjoint_test,turn_bin,turn_45_180,4085,50716.60248435555,59941.46874721376,236938.99833065856,159219.05236762937
constant_acceleration,vessel_disjoint_test,turn_bin,turn_5_15,4962,44979.12861460914,93354.86218969239,88025.18396152201,59528.90074993477
constant_velocity,vessel_disjoint_test,region,east_gulf_coast,22030,11132.292852221355,19487.71026195151,9632.282368649703,7211.191893884605
constant_velocity,vessel_disjoint_test,region,hawaii_pacific,274,508.4223388585746,1131.7263447218863,483.7217994145519,302.11125559537993
constant_velocity,vessel_disjoint_test,region,other,770,6100.948294513411,13693.765364292245,6040.923099503397,3899.9298309037067
constant_velocity,vessel_disjoint_test,region,west_coast,4637,3160.716615117103,6752.392118162417,2961.3571118805653,2017.667625572011
constant_velocity,vessel_disjoint_test,speed_bin,sog_0_2,19932,11361.922222729938,19300.99257163753,9708.292344749843,7384.58411506793
constant_velocity,vessel_disjoint_test,speed_bin,sog_15_50,475,15275.582706258541,34379.65929830737,14676.054611970485,9654.372410018581
constant_velocity,vessel_disjoint_test,speed_bin,sog_2_8,4971,2614.4000662789713,5727.899102914266,2516.3950297497977,1667.9712430227385
constant_velocity,vessel_disjoint_test,speed_bin,sog_8_15,2333,7723.863749660684,17988.976908061562,7599.329369770366,4816.701298982168
constant_velocity,vessel_disjoint_test,turn_bin,turn_0_5,12854,2701.066310285182,6172.864424631658,2666.844053182857,1698.6451984589826
constant_velocity,vessel_disjoint_test,turn_bin,turn_15_45,5810,7878.624431928133,12785.507653702009,6990.980693041641,5234.624298898116
constant_velocity,vessel_disjoint_test,turn_bin,turn_45_180,4085,33547.28898783181,57480.5398062859,28252.51994617697,21709.888201764476
constant_velocity,vessel_disjoint_test,turn_bin,turn_5_15,4962,9512.838083263992,16735.507412488463,8143.145667570136,6120.870776720377
